Dataset,Model,MAE_3,RMSE_3,MAPE_3,MAE_6,RMSE_6,MAPE_6,MAE_12,RMSE_12,MAPE_12,MAE_all,RMSE_all,MAPE_all
PEMS07,GRU,21.9954,35.1077,0.0931,26.0490,41.3519,0.1115,34.9872,54.0419,0.1566,26.7530,42.7973,0.1158
PEMS07,WaveNet,22.7497,35.5579,0.0961,27.1437,42.0202,0.1163,36.9745,55.1593,0.1661,27.9378,43.5086,0.1213
PEMS07,Transformer,21.4997,34.0505,0.0900,24.4858,38.7056,0.1023,30.1193,46.9601,0.1271,24.7038,39.2919,0.1035
PEMS07,Transformer,20.0603,32.7428,0.0827,22.5280,36.9435,0.0924,27.4315,44.3139,0.1125,22.8304,37.4989,0.0938
PEMS07,GCLSTM,22.4565,34.4713,0.0965,25.8387,39.2932,0.1106,32.9288,48.6305,0.1449,26.2697,40.0895,0.1135
PEMS07,GCGRU,22.4109,34.4121,0.0961,25.7583,39.2494,0.1101,32.6537,48.4973,0.1426,26.1514,40.0192,0.1126
PEMS07,STGCN,21.3485,33.2601,0.0974,23.0462,36.1066,0.1045,25.9345,40.5721,0.1143,23.0625,36.1922,0.1041
PEMS07,DCRNN,19.4324,31.2582,0.0825,21.0747,34.0727,0.0890,24.0224,38.3624,0.1034,21.1112,34.0833,0.0898
PEMS07,AGCRN,19.9824,32.0630,0.0860,21.4718,34.9685,0.0917,23.8653,38.8238,0.1026,21.4787,34.9528,0.0920
PEMS07,GWNET,19.0374,31.0512,0.0796,20.6600,33.8090,0.0868,23.1943,37.5717,0.0982,20.6322,33.7359,0.0867
PEMS07,MTGNN,19.1210,31.1055,0.0802,20.6927,34.0621,0.0868,23.2567,38.2580,0.0981,20.6912,34.0943,0.0869
PEMS07,StemGNN,24.3186,37.2880,0.1318,27.4581,42.0238,0.1461,33.7824,50.6964,0.1798,27.9040,42.7619,0.1488
PEMS07,STNorm,19.0116,31.4435,0.0793,20.4593,34.4943,0.0851,22.4174,37.9430,0.0936,20.3352,34.2530,0.0847
PEMS07,GTS,20.4796,32.3621,0.0868,22.5303,35.4327,0.0957,25.8048,39.9619,0.1119,22.5046,35.4557,0.0960
PEMS07,STID,18.3807,30.4093,0.0780,19.6767,32.9645,0.0832,21.5368,36.1648,0.0926,19.6106,32.8297,0.0833
PEMS07,STWA,19.4764,31.4855,0.0856,20.8449,34.0152,0.0896,23.0205,37.4370,0.1010,20.8150,33.9504,0.0903
PEMS07,MegaCRN,18.4285,30.2114,0.0775,19.7486,32.7774,0.0829,21.7972,36.3350,0.0921,19.6995,32.7212,0.0829
PEMS07,STAEformer,18.0523,30.3209,0.0754,19.3644,32.9353,0.0807,21.3089,36.3794,0.0890,19.3273,32.8608,0.0806
PEMS08,HistoricalInertia,34.6463,50.4415,0.2160,34.6596,50.4513,0.2163,34.6820,50.4661,0.2168,34.6608,50.4515,0.2163
PEMS08,MLP,16.8483,26.0348,0.1048,20.1775,31.2063,0.1257,27.4812,41.0479,0.1764,20.7761,32.2782,0.1309
PEMS08,LSTM,16.3266,25.5625,0.1022,19.2276,30.3326,0.1213,25.6750,39.4805,0.1662,19.7389,31.3070,0.1256
PEMS08,GRU,16.1065,25.5172,0.1007,18.8843,30.2423,0.1190,25.0339,39.2252,0.1621,19.3699,31.1970,0.1231
PEMS08,WaveNet,16.6140,25.8329,0.1037,19.6404,30.7377,0.1230,26.5569,40.3576,0.1694,20.2314,31.8067,0.1276
PEMS08,Transformer,15.9696,25.1391,0.0989,17.9657,28.4047,0.1112,21.8902,34.1641,0.1373,18.1158,28.7290,0.1128
PEMS08,Transformer,15.2492,24.1060,0.0953,16.9314,27.0327,0.1056,19.9288,31.7222,0.1255,16.9674,27.1548,0.1065
PEMS08,GCLSTM,15.7736,24.3373,0.1003,17.2308,26.7435,0.1093,20.4512,31.3291,0.1311,17.4092,27.0061,0.1113
PEMS08,GCGRU,15.5485,24.0036,0.0999,17.0161,26.4299,0.1083,20.0791,30.7967,0.1284,17.1507,26.6128,0.1100
PEMS08,STGCN,15.1805,23.5106,0.1017,16.2596,25.4570,0.1067,18.3535,28.6203,0.1181,16.3636,25.5783,0.1077
PEMS08,DCRNN,14.2105,22.2769,0.0923,15.3216,24.3425,0.0997,17.0549,27.0317,0.1118,15.3148,24.2919,0.1000
PEMS08,AGCRN,14.5882,22.6945,0.0967,15.6282,24.6188,0.1027,17.3438,27.3420,0.1142,15.6937,24.6915,0.1035
PEMS08,GWNET,13.6783,21.7931,0.0878,14.5993,23.5209,0.0942,16.0866,25.8291,0.1034,14.6084,23.4811,0.0938
PEMS08,MTGNN,14.1790,22.2604,0.0910,15.2539,24.3400,0.0971,16.9923,26.9520,0.1083,15.2632,24.2647,0.0973
PEMS08,StemGNN,15.2093,23.6975,0.1035,16.8373,26.3818,0.1113,19.7552,30.7237,0.1305,16.9719,26.6187,0.1129
PEMS08,STNorm,14.3341,22.8758,0.0917,15.3863,25.0990,0.0977,16.7195,27.3093,0.1064,15.2947,24.8758,0.0975
PEMS08,GTS,15.3177,23.9470,0.0982,16.9479,26.7285,0.1098,19.8314,30.9074,0.1305,17.0271,26.8439,0.1108
PEMS08,STID,13.3121,21.5024,0.0875,14.1778,23.3257,0.0936,15.6575,25.7321,0.1062,14.2044,23.2991,0.0933
PEMS08,STWA,15.0817,23.4721,0.1101,16.0165,25.1566,0.1121,17.6048,27.7725,0.1143,16.0262,25.2510,0.1085
PEMS08,MegaCRN,13.7117,21.8117,0.0889,14.8227,23.9199,0.0961,16.6468,26.8669,0.1087,14.8256,23.9207,0.0964
PEMS08,STAEformer,12.6604,21.6173,0.0831,13.5387,23.4658,0.0889,14.9247,25.8801,0.0983,13.5483,23.4250,0.0890
