Dataset,Model,Step,MAE,RMSE,MAPE
PEMS03,GCGRU,3,15.2872,25.0886,0.1478
PEMS03,GCGRU,6,17.1186,28.0416,0.1641
PEMS03,GCGRU,12,21.0845,33.6924,0.2051
PEMS03,GCGRU,0,17.3664,28.4401,0.1676

PEMS03,STGCN,3,15.0433,25.7253,0.1476
PEMS03,STGCN,6,16.1110,27.7702,0.1536
PEMS03,STGCN,12,18.1788,31.0469,0.1707
PEMS03,STGCN,0,16.1974,27.8592,0.1553

PEMS03,DCRNN,3,14.3688,25.0792,0.1475
PEMS03,DCRNN,6,15.6376,27.8683,0.1537
PEMS03,DCRNN,12,17.7360,30.7502,0.1733
PEMS03,DCRNN,0,15.6427,27.6103,0.1549

PEMS03,AGCRN,3,14.8262,25.9961,0.1415
PEMS03,AGCRN,6,15.9865,27.9788,0.1511
PEMS03,AGCRN,12,17.7383,30.4799,0.1772
PEMS03,AGCRN,0,16.0054,27.9263,0.1537

PEMS03,GWNET,3,13.4939,22.9162,0.1391
PEMS03,GWNET,6,14.6670,25.1492,0.1496
PEMS03,GWNET,12,16.3968,27.8904,0.1604
PEMS03,GWNET,0,14.6535,25.0686,0.1475

PEMS03,MTGNN,3,13.6410,23.7311,0.1388
PEMS03,MTGNN,6,14.8321,26.2463,0.1480
PEMS03,MTGNN,12,16.6130,28.7030,0.1571
PEMS03,MTGNN,0,14.7825,25.8726,0.1466

PEMS03,StemGNN,3,14.6464,24.9032,0.1547
PEMS03,StemGNN,6,16.4276,27.6607,0.1684
PEMS03,StemGNN,12,19.2925,31.5899,0.1903
PEMS03,StemGNN,0,16.4439,27.6718,0.1683

PEMS03,STNorm,3,14.3384,25.1541,0.1360
PEMS03,STNorm,6,15.4319,27.2564,0.1427
PEMS03,STNorm,12,16.8540,29.4278,0.1535
PEMS03,STNorm,0,15.3230,26.9342,0.1425

PEMS03,GTS,3,14.0100,23.9753,0.1428
PEMS03,GTS,6,15.4297,26.2273,0.1562
PEMS03,GTS,12,17.5416,29.2405,0.1786
PEMS03,GTS,0,15.3947,26.1740,0.1563

PEMS03,STID,3,13.8731,23.4980,0.1516
PEMS03,STID,6,15.2966,27.3760,0.1653
PEMS03,STID,12,17.4322,31.7500,0.1866
PEMS03,STID,0,15.2961,27.2666,0.1647

PEMS03,STWA,3,14.2482,24.8088,0.1413
PEMS03,STWA,6,15.3934,26.9035,0.1496
PEMS03,STWA,12,16.7249,28.8844,0.1609
PEMS03,STWA,0,15.2819,26.6182,0.1517

PEMS03,MegaCRN,3,13.4049,23.9129,0.1435
PEMS03,MegaCRN,6,14.6531,26.0838,0.1470
PEMS03,MegaCRN,12,16.5140,28.7141,0.1617
PEMS03,MegaCRN,0,14.5676,25.8679,0.1475

PEMS03,STAEformer,3,14.1146,25.7248,0.1450
PEMS03,STAEformer,6,15.4680,28.4250,0.1558
PEMS03,STAEformer,12,17.6047,31.7221,0.1764
PEMS03,STAEformer,0,15.4893,28.3014,0.1568

PEMS04,HistoricalInertia,3,42.3344,61.6473,0.2990
PEMS04,HistoricalInertia,6,42.3555,61.6613,0.2992
PEMS04,HistoricalInertia,12,42.3778,61.6742,0.2996
PEMS04,HistoricalInertia,0,42.3534,61.6593,0.2992

PEMS04,MLP,3,21.4086,33.3284,0.1439
PEMS04,MLP,6,25.2723,38.7097,0.1718
PEMS04,MLP,12,33.8265,50.1012,0.2390
PEMS04,MLP,0,26.0316,40.1504,0.1788

PEMS04,LSTM,3,21.1798,33.1140,0.1409
PEMS04,LSTM,6,24.8971,38.3329,0.1675
PEMS04,LSTM,12,33.1725,49.5188,0.2308
PEMS04,LSTM,0,25.6343,39.7572,0.1739

PEMS04,GRU,3,21.1258,33.0785,0.1402
PEMS04,GRU,6,24.8245,38.2930,0.1666
PEMS04,GRU,12,33.0211,49.4318,0.2291
PEMS04,GRU,0,25.5525,39.7098,0.1729

PEMS04,WaveNet,3,21.3512,33.2560,0.1411
PEMS04,WaveNet,6,25.2151,38.6027,0.1687
PEMS04,WaveNet,12,33.6899,49.9321,0.2327
PEMS04,WaveNet,0,25.9567,40.0275,0.1751

PEMS04,Transformer,3,20.5097,32.3550,0.1340
PEMS04,Transformer,6,23.0894,36.1690,0.1519
PEMS04,Transformer,12,28.4359,43.8043,0.1882
PEMS04,Transformer,0,23.4577,36.9209,0.1546

PEMS04,Transformer,3,19.8160,31.5087,0.1293
PEMS04,Transformer,6,22.0666,34.9001,0.1441
PEMS04,Transformer,12,26.5992,41.4965,0.1759
PEMS04,Transformer,0,22.3643,35.5039,0.1467

PEMS04,GCLSTM,3,20.2583,31.6423,0.1370
PEMS04,GCLSTM,6,22.4171,34.5961,0.1525
PEMS04,GCLSTM,12,26.9476,40.4385,0.1894
PEMS04,GCLSTM,0,22.7084,35.0729,0.1557

PEMS04,GCGRU,3,20.2227,31.6226,0.1356
PEMS04,GCGRU,6,22.4053,34.6295,0.1515
PEMS04,GCGRU,12,27.0435,40.7377,0.1895
PEMS04,GCGRU,0,22.7062,35.1516,0.1549

PEMS04,STGCN,3,19.1440,30.3834,0.1285
PEMS04,STGCN,6,20.1467,32.0257,0.1337
PEMS04,STGCN,12,22.1221,34.8194,0.1460
PEMS04,STGCN,0,20.2238,32.1143,0.1346

PEMS04,DCRNN,3,18.8563,29.7953,0.1299
PEMS04,DCRNN,6,20.4350,31.9789,0.1433
PEMS04,DCRNN,12,23.2998,35.7452,0.1710
PEMS04,DCRNN,0,20.5410,32.1659,0.1453

PEMS04,AGCRN,3,18.5546,29.6873,0.1240
PEMS04,AGCRN,6,19.4595,31.2545,0.1298
PEMS04,AGCRN,12,20.9510,33.4042,0.1382
PEMS04,AGCRN,0,19.4553,31.2055,0.1295

PEMS04,GWNET,3,18.0533,29.0168,0.1212
PEMS04,GWNET,6,19.1006,30.6484,0.1281
PEMS04,GWNET,12,20.8447,33.0579,0.1423
PEMS04,GWNET,0,19.1194,30.6471,0.1288

PEMS04,MTGNN,3,18.0027,29.4208,0.1200
PEMS04,MTGNN,6,18.9524,31.4554,0.1259
PEMS04,MTGNN,12,20.5320,34.1904,0.1372
PEMS04,MTGNN,0,18.9351,31.4087,0.1261

PEMS04,StemGNN,3,19.2548,30.5206,0.1277
PEMS04,StemGNN,6,21.2943,33.3629,0.1414
PEMS04,StemGNN,12,24.9225,38.2916,0.1676
PEMS04,StemGNN,0,21.4422,33.6704,0.1431

PEMS04,STNorm,3,18.1171,29.3179,0.1191
PEMS04,STNorm,6,18.9381,30.9878,0.1232
